id,date,city,lat,long,pop,shop,brand,container,capacity,price,quantity
0,31/01/12,Athens,37.97945,23.71622,672130,shop_1,kinder-cola,glass,500ml,0.96,13280
1,31/01/12,Athens,37.97945,23.71622,672130,shop_1,kinder-cola,plastic,1.5lt,2.86,6727
2,31/01/12,Athens,37.97945,23.71622,672130,shop_1,kinder-cola,can,330ml,0.87,9848
3,31/01/12,Athens,37.97945,23.71622,672130,shop_1,adult-cola,glass,500ml,1,20050
4,31/01/12,Athens,37.97945,23.71622,672130,shop_1,adult-cola,can,330ml,0.39,25696
5,31/01/12,Athens,37.97945,23.71622,672130,shop_1,orange-power,glass,500ml,1,15041
6,31/01/12,Athens,37.97945,23.71622,672130,shop_1,orange-power,can,330ml,0.43,34578
7,31/01/12,Athens,37.97945,23.71622,672130,shop_1,gazoza,glass,500ml,0.49,44734
8,31/01/12,Athens,37.97945,23.71622,672130,shop_1,lemon-boost,glass,500ml,0.7,18623
9,31/01/12,Athens,37.97945,23.71622,672130,shop_1,lemon-boost,plastic,1.5lt,2.21,9645
10,31/01/12,Athens,37.97945,23.71622,672130,shop_1,lemon-boost,can,330ml,0.52,19818
11,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,kinder-cola,glass,500ml,1.51,8943
12,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,kinder-cola,plastic,1.5lt,1.62,15073
13,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,kinder-cola,can,330ml,0.91,11174
14,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,adult-cola,glass,500ml,1,21063
15,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,orange-power,glass,500ml,0.88,21720
16,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,orange-power,,330ml,0.23,54780
17,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,gazoza,glass,500ml,0.58,41378
18,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,gazoza,plastic,1.5lt,1,30757
19,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,gazoza,can,330ml,0.26,49688
20,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,lemon-boost,glass,500ml,0.89,18582
21,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,lemon-boost,plastic,1.5lt,2.25,10348
22,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,lemon-boost,can,330ml,0.41,29015
23,31/01/12,Patra,38.24444,21.73444,164250,shop_6,kinder-cola,glass,500ml,1.11,17474
24,31/01/12,Patra,38.24444,21.73444,164250,shop_6,kinder-cola,plastic,1.5lt,3.84,8361
25,31/01/12,Patra,38.24444,21.73444,164250,shop_6,kinder-cola,can,330ml,0.57,26782
26,31/01/12,Patra,38.24444,21.73444,164250,shop_6,adult-cola,glass,500ml,1.17,19841
27,31/01/12,Patra,38.24444,21.73444,164250,shop_6,adult-cola,plastic,1.5lt,2.77,14917
28,31/01/12,Patra,38.24444,21.73444,164250,shop_6,adult-cola,can,330ml,0.65,26581
29,31/01/12,Patra,38.24444,21.73444,164250,shop_6,orange-power,plastic,1.5lt,1.65,30586
30,31/01/12,Patra,38.24444,21.73444,164250,shop_6,orange-power,can,330ml,0.33,66314
31,31/01/12,Patra,38.24444,21.73444,164250,shop_6,gazoza,glass,500ml,0.57,56428
32,31/01/12,Patra,38.24444,21.73444,164250,shop_6,gazoza,plastic,1.5lt,0.73,47386
33,31/01/12,Patra,38.24444,21.73444,164250,shop_6,gazoza,can,330ml,0.21,77667
34,31/01/12,Patra,38.24444,21.73444,164250,shop_6,lemon-boost,plastic,1.5lt,2.05,16090
35,31/01/12,Patra,38.24444,21.73444,164250,shop_6,lemon-boost,can,330ml,0.68,17127
36,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,kinder-cola,plastic,1.5lt,2.8,11306
37,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,kinder-cola,can,330ml,0.79,16018
38,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,adult-cola,plastic,1.5lt,2.99,12674
39,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,adult-cola,can,330ml,0.49,30194
40,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,orange-power,glass,500ml,0.96,23346
41,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,orange-power,plastic,1.5lt,2.15,12835
42,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,orange-power,can,330ml,0.41,40722
43,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,gazoza,can,330ml,0.28,48918
44,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,lemon-boost,glass,500ml,0.82,27727
45,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,lemon-boost,plastic,1.5lt,1.56,16352
46,31/01/12,Athens,37.96245,23.68708,672130,shop_3,kinder-cola,plastic,1.5lt,3.21,5630
47,31/01/12,Athens,37.96245,23.68708,672130,shop_3,kinder-cola,can,330ml,0.9,5891
48,31/01/12,Athens,37.96245,23.68708,672130,shop_3,adult-cola,glass,500ml,1.13,12339
49,31/01/12,Athens,37.96245,23.68708,672130,shop_3,adult-cola,plastic,1.5lt,2.46,9720
50,31/01/12,Athens,37.96245,23.68708,672130,shop_3,adult-cola,can,330ml,0.71,12035
51,31/01/12,Athens,37.96245,23.68708,672130,shop_3,orange-power,glass,500ml,0.83,17298
52,31/01/12,Athens,37.96245,23.68708,672130,shop_3,orange-power,plastic,1.5lt,1.83,10483
53,31/01/12,Athens,37.96245,23.68708,672130,shop_3,orange-power,can,330ml,0.53,16545
54,31/01/12,Athens,37.96245,23.68708,672130,shop_3,gazoza,glass,500ml,0.38,35931
55,31/01/12,Athens,37.96245,23.68708,672130,shop_3,gazoza,plastic,1.5lt,1.16,14480
56,31/01/12,Athens,37.96245,23.68708,672130,shop_3,lemon-boost,can,330ml,0.33,21997
57,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,kinder-cola,glass,500ml,1.38,7495
58,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,adult-cola,glass,500ml,1.06,14887
59,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,adult-cola,plastic,1.5lt,2.83,9126
60,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,adult-cola,can,330ml,0.59,17878
61,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,orange-power,glass,500ml,0.66,24301
62,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,orange-power,plastic,1.5lt,1.57,16161
63,31/01/12,Larisa,39.63689,,137540,shop_5,orange-power,can,330ml,0.34,39554
64,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,gazoza,glass,500ml,0.59,27498
65,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,gazoza,plastic,1.5lt,0.84,26495
66,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,gazoza,can,330ml,0.27,41445
67,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,lemon-boost,glass,500ml,0.91,13940
68,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,lemon-boost,can,330ml,0.55,16123
69,31/01/12,Athens,37.96245,23.68708,672130,shop_3,lemon-boost,plastic,1.5lt,1.99,8868
70,31/01/12,Athens,37.96245,23.68708,672130,shop_3,gazoza,can,330ml,0.33,19886
71,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,kinder-cola,can,330ml,0.46,19572
72,31/01/12,Larisa,39.63689,22.41761,137540,shop_5,lemon-boost,plastic,1.5lt,1.73,12100
73,31/01/12,Athens,37.96245,23.68708,672130,shop_3,kinder-cola,glass,500ml,1.57,5089
74,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,adult-cola,glass,500ml,1.05,20401
75,31/01/12,Athens,37.97945,23.71622,672130,shop_1,gazoza,can,330ml,0.4,16367
76,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,orange-power,plastic,1.5lt,1.27,25347
77,31/01/12,Irakleion,35.32787,25.14341,134219,shop_2,adult-cola,plastic,1.5lt,2.61,15126
78,31/01/12,Patra,38.24444,21.73444,164250,shop_6,lemon-boost,glass,500ml,0.86,26717
79,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,gazoza,plastic,1.5lt,0.71,42833
80,31/01/12,Thessaloniki,40.64361,22.93086,346502,shop_4,kinder-cola,glass,500ml,1.39,11406
81,31/01/12,Patra,38.24444,21.73444,164250,shop_6,orange-power,glass,500ml,0.62,38696
